MonthName,2017,2018,2019,2020,2021,2022,2022FC_M1,2022FC_M2,2022FC_M3,2022FC_M4,Business Goal
Jan,24855,27774,39988,38249,21557,16499,25760.84188505554,30034.317307781086,34465.50536561534,27427.716636298384,TBD
Feb,29714,35027,32217,47261,20418,NA,24785.272137067943,29170.627071395193,31964.423433661108,26003.27789608785,TBD
Mar,43593,46562,43483,22172,42432,NA,32588.76034637705,37931.3346469108,42332.3751844533,36331.537708931966,TBD
Apr,48925,44460,43101,112,34484,NA,30899.49430476448,36697.40952645147,45229.19741335818,40003.0516874147,TBD
May,52764,48900,43503,9887,34389,NA,30006.995297991096,36819.314129660896,45928.39087641779,41093.17365659398,TBD
Jun,42988,50594,53698,27488,32782,NA,33480.45427425742,40697.47377020443,47011.53250808234,42886.03044247724,TBD
Jul,54870,59183,54094,38341,43631,NA,39947.72179165563,48024.279672988814,52840.990948059625,49108.31643325829,TBD
Aug,59025,65859,61292,50770,43478,NA,45140.59558041672,53743.355394528706,57838.03234530504,54536.58357984682,TBD
Sep,45309,44452,38214,37242,32331,NA,29515.992619873123,38359.53523156446,40714.76790813574,37953.26795040324,TBD
Oct,43556,40427,41348,35464,34311,NA,29782.211893981417,39447.79184294919,41528.43899124271,39115.89291724584,TBD
Nov,62118,59339,55615,47201,45017,NA,40150.742522879824,49948.28719814712,52632.731795516884,50658.827235362936,TBD
Dec,57591,72005,67095,48575,40727,NA,45953.79056392669,56564.13143170055,58447.868887544275,56915.32806651526,TBD
