MonthName,2017,2018,2019,2020,2021,2022FC_High,2022FC_Low,2022FC_Mid,Business Goal
Jan,200135740.34,213886733.82,201024944.65,214329191.74,211482444.66,263809309.25953627,222131539.0809816,234687966.93703222,TBD
Feb,253278268.74,262334792,249002162.21,257553611.86,210650663.97,301110190.14677775,259822546.29415804,284372606.57362264,TBD
Mar,347296395.8,398257328.28,389556524.71,164869919.95,451968642.1,438998255.7221562,393134326.6077228,409350828.9272995,TBD
Apr,363023042.75,328472037.36,361061279.85,2064775.98,379250129.26,385349929.0518659,339108450.92145854,373184981.1059762,TBD
May,349097488.87,381913420.05,372094847.92,91836817.49,401711625.96,406417281.03888696,359719068.810447,393634340.2028616,TBD
Jun,411752525.7,433504530.83,433012879.56,331457868.94,476158511.94,460312773.6933588,417070679.6633208,453264811.2080893,TBD
Jul,439187775.27,460307068.74,450964707.89,363804994.39,494076250.49,486244699.0135022,442842913.1240628,477046808.40108633,TBD
Aug,450589943.5,475369915.45,485630320.23,380449254.51,480392636.55,509370317.66054904,466284592.3283563,497946948.1777601,TBD
Sep,377888456.89,360138837.65,357480634.72,377840084.61,394865613.5,409008980.5195265,366147575.0680313,390737545.3291596,TBD
Oct,327352467.76,339197588.19,350731437.84,325290596.34,377331118.7,392622420.445361,350208341.2828071,366545968.6126815,TBD
Nov,494400886.33,509790079.27,513765249.77,421397980.61,532171989.45,557664445.3090465,515863824.7020718,531620439.9651365,TBD
Dec,574790928.05,576318064.36,595474654.49,541394517.03,629811705.84,637872266.4216326,596616426.121099,608485558.8816191,TBD
