MonthName,2017,2018,2019,2020,2021,2022,2022FC_M1,2022FC_M2,2022FC_M3,2022FC_M4,Business Goal
Jan,56938,27754,34128,102580,69304,58730,77272.64137922104,61577.81029528388,632782.2511219206,44561.033198111196,TBD
Feb,58691,34339,33296,97984,50094,NA,65228.820249076525,53792.365473380014,591589.0966200073,42688.425011340594,TBD
Mar,74001,56647,58139,59898,103993,NA,89356.66420343943,69801.92847399745,687987.422540056,61915.49766585279,TBD
Apr,87103,45461,52131,3257,90109,NA,72558.70698872223,57008.365117566726,687852.9778255244,63632.472722024344,TBD
May,73572,59156,51440,28851,97169,NA,62411.41483169394,60730.859985025374,726273.7295778659,62270.7143328227,TBD
Jun,91186,57301,53323,79983,97204,NA,71716.06535745121,74972.37716431713,723339.4664641218,65637.11190452235,TBD
Jul,108861,66548,85433,97603,123159,NA,88756.20717040035,96119.99574633234,780567.9448006697,87970.10687879569,TBD
Aug,93901,56267,85173,107922,120497,NA,79480.10778195685,91482.52901233033,784876.7771573699,78370.73321089434,TBD
Sep,23813,44933,77760,93425,82828,NA,55478.921616610474,73146.33730619402,756433.893560269,61157.58609406805,TBD
Oct,46528,49401,113785,41239,35897,NA,53857.04226954309,69779.68612916504,810153.7345899856,74248.49760103496,TBD
Nov,66377,61357,175846,108938,40753,NA,78539.77574559517,96913.5919580863,818625.626375402,92647.28551196563,TBD
Dec,61634,73693,195726,138274,136228,NA,99946.03764957059,126281.65318730146,850620.4177030895,108606.17000372942,TBD
